"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
494.4,6.06329e-65,3.96822e-11,2.53198e-101,0.0206774
499.2,2.22321e-64,5.4944e-11,1.0368e-100,0.0250187
504,8.04031e-64,7.56927e-11,4.18895e-100,0.0301286
508.8,2.86866e-63,1.03763e-10,1.67024e-99,0.036115
513.6,1.00992e-62,1.41557e-10,6.57358e-99,0.0430957
518.4,3.50896e-62,1.92205e-10,2.55423e-98,0.0511995
523.2,1.20349e-61,2.59764e-10,9.80021e-98,0.0605656
528,4.0753e-61,3.49478e-10,3.71371e-97,0.071344
532.8,1.36273e-60,4.68084e-10,1.39013e-96,0.0836954
537.6,4.50062e-60,6.2421e-10,5.14113e-96,0.097791
542.4,1.46833e-59,8.28855e-10,1.87883e-95,0.113812
547.2,4.733e-59,1.09598e-09,6.78606e-95,0.131951
552,1.5076e-58,1.44325e-09,2.42282e-94,0.152406
556.8,4.74619e-58,1.89289e-09,8.55196e-94,0.175388
561.6,1.47701e-57,2.47282e-09,2.98485e-93,0.201112
566.4,4.54429e-57,3.2179e-09,1.03028e-92,0.229801
571.2,1.3825e-56,4.17158e-09,3.51751e-92,0.261684
576,4.15953e-56,5.38774e-09,1.18801e-91,0.296993
580.8,1.23785e-55,6.93299e-09,3.96988e-91,0.335962
585.6,3.64419e-55,8.88943e-09,1.3127e-90,0.378827
590.4,1.06146e-54,1.13578e-08,4.29583e-90,0.425824
595.2,3.05942e-54,1.44615e-08,1.39149e-89,0.477186
600,8.72697e-54,1.83507e-08,4.46192e-89,0.533141
604.8,2.46399e-53,2.32085e-08,1.41654e-88,0.593914
609.6,6.88684e-53,2.92562e-08,4.45308e-88,0.65972
614.4,1.90574e-52,3.67614e-08,1.38633e-87,0.730764
619.2,5.22189e-52,4.60464e-08,4.27467e-87,0.807242
624,1.41698e-51,5.7498e-08,1.30563e-86,0.889334
628.8,3.80825e-51,7.15794e-08,3.95069e-86,0.977208
633.6,1.01383e-50,8.88432e-08,1.18443e-85,1.07101
638.4,2.67384e-50,1.09947e-07,3.51868e-85,1.17088
643.2,6.98692e-50,1.35673e-07,1.03593e-84,1.27692
648,1.80911e-49,1.66943e-07,3.02284e-84,1.38923
652.8,4.64221e-49,2.0485e-07,8.74332e-84,1.50787
657.6,1.18062e-48,2.50676e-07,2.50704e-83,1.63289
662.4,2.97625e-48,3.05931e-07,7.12712e-83,1.76432
667.2,7.43785e-48,3.72378e-07,2.009e-82,1.90214
672,1.84286e-47,4.52082e-07,5.6157e-82,2.04634
676.8,4.52738e-47,5.47446e-07,1.55678e-81,2.19685
681.6,1.10295e-46,6.61264e-07,4.2805e-81,2.3536
686.4,2.66479e-46,7.96775e-07,1.16747e-80,2.51649
691.2,6.38571e-46,9.57729e-07,3.15878e-80,2.68538
696,1.51788e-45,1.14845e-06,8.47929e-80,2.86013
700.8,3.57924e-45,1.37393e-06,2.25842e-79,3.04054
705.6,8.37352e-45,1.63988e-06,5.96887e-79,3.22643
710.4,1.9437e-44,1.95287e-06,1.56553e-78,3.41757
715.2,4.47706e-44,2.32042e-06,4.07522e-78,3.61372
720,1.02339e-43,2.75109e-06,1.05292e-77,3.8146
724.8,2.3217e-43,3.25465e-06,2.70044e-77,4.01995
729.6,5.22794e-43,3.84219e-06,6.87545e-77,4.22946
734.4,1.16856e-42,4.52633e-06,1.73793e-76,4.44282
739.2,2.593e-42,5.32131e-06,4.36175e-76,4.6597
744,5.71242e-42,6.24326e-06,1.08698e-75,4.87976
748.8,1.24951e-41,7.31035e-06,2.68999e-75,5.10267
753.6,2.71393e-41,8.54304e-06,6.61118e-75,5.32805
758.4,5.85369e-41,9.96431e-06,1.61376e-74,5.55555
763.2,1.25391e-40,1.16e-05,3.9126e-74,5.78481
768,2.66772e-40,1.34788e-05,9.42294e-74,6.01546
772.8,5.6375e-40,1.56332e-05,2.25442e-73,6.24713
777.6,1.18342e-39,1.8099e-05,5.35849e-73,6.47945
782.4,2.46788e-39,2.09163e-05,1.26543e-72,6.71206
787.2,5.11303e-39,2.41297e-05,2.96928e-72,6.9446
792,1.05252e-38,2.77886e-05,6.92331e-72,7.17672
796.8,2.15285e-38,3.19476e-05,1.60418e-71,7.40807
801.6,4.37578e-38,3.66675e-05,3.694e-71,7.63831
806.4,8.83865e-38,4.2015e-05,8.45423e-71,7.86713
811.2,1.77433e-37,4.80639e-05,1.92315e-70,8.0942
816,3.54023e-37,5.48955e-05,4.34852e-70,8.31922
820.8,7.02107e-37,6.25988e-05,9.77428e-70,8.54191
825.6,1.38414e-36,7.12719e-05,2.18409e-69,8.76199
830.4,2.71261e-36,8.1022e-05,4.85205e-69,8.9792
835.2,5.2851e-36,9.19665e-05,1.0717e-68,9.1933
840,1.02378e-35,0.000104234,2.35366e-68,9.40405
844.8,1.97184e-35,0.000117964,5.13995e-68,9.61125
849.6,3.77638e-35,0.000133309,1.1162e-67,9.8147
854.4,7.19193e-35,0.000150435,2.41059e-67,10.0142
859.2,1.36209e-34,0.000169523,5.1775e-67,10.2097
864,2.56555e-34,0.000190767,1.10602e-66,10.4009
868.8,4.80615e-34,0.000214381,2.35e-66,10.5877
873.6,8.95527e-34,0.000240592,4.96666e-66,10.7701
878.4,1.65978e-33,0.000269649,1.04417e-65,10.9478
883.2,3.06009e-33,0.00030182,2.18381e-65,11.121
888,5.61249e-33,0.000337392,4.54377e-65,11.2894
892.8,1.02409e-32,0.000376677,9.4058e-65,11.4531
897.6,1.8591e-32,0.000420007,1.93721e-64,11.6119
902.4,3.35796e-32,0.000467741,3.9699e-64,11.7659
907.2,6.03498e-32,0.000520263,8.09516e-64,11.9151
912,1.07926e-31,0.000577986,1.64262e-63,12.0595
916.8,1.92066e-31,0.00064135,3.3169e-63,12.199
921.6,3.40149e-31,0.000710825,6.66551e-63,12.3338
926.4,5.9952e-31,0.000786916,1.33309e-62,12.4637
931.2,1.05166e-30,0.000870157,2.65358e-62,12.589
936,1.83613e-30,0.000961121,5.25738e-62,12.7096
940.8,3.19087e-30,0.00106041,1.03679e-61,12.8257
945.6,5.51967e-30,0.00116868,2.03524e-61,12.9372
950.4,9.50465e-30,0.00128661,3.97706e-61,13.0443
955.2,1.62929e-29,0.00141493,7.73659e-61,13.147
960,2.78046e-29,0.00155441,1.49829e-60,13.2454
964.8,4.72402e-29,0.00170587,2.88883e-60,13.3397
969.6,7.99105e-29,0.00187016,5.54551e-60,13.4299
974.4,1.34589e-28,0.0020482,1.05992e-59,13.5161
979.2,2.2571e-28,0.00224095,2.01715e-59,13.5985
984,3.76914e-28,0.00244942,3.82253e-59,13.6771
988.8,6.26765e-28,0.00267468,7.21319e-59,13.752
993.6,1.0379e-27,0.00291785,1.35546e-58,13.8234
998.4,1.71163e-27,0.00318011,2.53655e-58,13.8914
1003.2,2.81118e-27,0.00346269,4.72733e-58,13.9561
1008,4.59842e-27,0.0037669,8.77446e-58,14.0176
1012.8,7.49178e-27,0.0040941,1.62208e-57,14.076
1017.6,1.21573e-26,0.00444571,2.98667e-57,14.1314
1022.4,1.96507e-26,0.00482322,5.47748e-57,14.1839
1027.2,3.16393e-26,0.00522819,1.00062e-56,14.2338
1032,5.07459e-26,0.00566224,1.82082e-56,14.2809
1036.8,8.108e-26,0.00612708,3.30059e-56,14.3256
1041.6,1.29057e-25,0.00662447,5.96013e-56,14.3678
1046.4,2.04655e-25,0.00715626,1.0722e-55,14.4077
1051.2,3.23333e-25,0.00772436,1.9216e-55,14.4453
1056,5.08956e-25,0.00833075,3.43111e-55,14.4809
1060.8,7.9823e-25,0.00897753,6.10388e-55,14.5144
1065.6,1.24741e-24,0.00966682,1.0819e-54,14.546
1070.4,1.94238e-24,0.0104009,1.91073e-54,14.5758
1075.2,3.01387e-24,0.011182,3.36239e-54,14.6038
1080,4.66004e-24,0.0120125,5.89593e-54,14.6302
1084.8,7.18036e-24,0.012895,1.0302e-53,14.6549
1089.6,1.10257e-23,0.0138319,1.7938e-53,14.6782
1094.4,1.68728e-23,0.0148259,3.11258e-53,14.7001
1099.2,2.57336e-23,0.0158798,5.38237e-53,14.7206
1104,3.91164e-23,0.0169963,9.27569e-53,14.7398
